2024-09-04 00:14:52 - Command: ./0RunBackground.sh ./background-allocator-daemon.py
2024-09-04 00:18:08 - Command: ./0RunBackground.sh ./background-allocator-daemon.py
2024-09-04 00:25:07 - Command: ./0RunBackground.sh -c ./background-allocator-daemon.py
2024-09-04 05:24:21 - Command: ./0RunBackground.sh -c ./background-allocator-daemon.py
2024-09-04 05:25:21 - Command: ./0RunBackground.sh -c ./background-allocator-daemon.py
2024-09-04 05:38:09 - Command: ./0RunBackground.sh -c echo hahahaha
2024-09-04 05:39:29 - Command: ./0RunBackground.sh -c ./background-allocator-daemon.py
2024-09-04 05:50:26 - Command: ./0RunBackground.sh -c ./background
2024-09-04 05:50:30 - Command: ./0RunBackground.sh -c ./background-allocator-daemon.py
2024-09-04 05:51:11 - Command: ./0RunBackground.sh -c ./background-allocator-daemon.py
2024-09-04 05:54:41 - Command: ./0RunBackground.sh -c ./background-allocator-daemon.py
2024-09-04 06:02:24 - Command: ./0RunBackground.sh -c ./background-allocator-daemon.py
2024-09-04 06:07:00 - Command: ./0RunBackground.sh -c ./background-allocator-daemon.py
2024-09-04 06:13:13 - Command: ./0RunBackground.sh -c ./background-allocator-daemon.py
2024-09-04 10:58:29 - Command: ./0RunBackground.sh -c ./background-allocator-daemon.py
2024-09-04 11:01:57 - Command: ./0RunBackground.sh -c ./background-allocator-daemon.py
2024-09-04 12:32:13 - Command: ./0RunBackground.sh -c ./background-allocator-daemon.py
2024-09-04 12:32:28 - Command: ./0RunBackground.sh -c ./background-allocator-daemon.py
2024-09-04 12:32:51 - Command: ./0RunBackground.sh -c ./background-allocator-daemon.py
2024-09-04 12:33:37 - Command: ./0RunBackground.sh -c ./background-allocator-daemon.py
2024-09-04 12:38:45 - Command: ./0RunBackground.sh -c ./background-allocator-daemon.py
2024-09-04 12:39:32 - Command: ./0RunBackground.sh -c ./background-allocator-daemon.py
2024-09-04 12:39:38 - Command: ./0RunBackground.sh -c ./background-allocator-daemon.py
