execution_number,workflow_id,workflow_folder_path,job_name,preference,assigned_resource,estimated_start,estimated_finish,upward_rank
1,workflow_4,/home/mehul/shared_fs/EMWOS/1Allocator/Energy-Aware-User-Prioritised-Preference-Scheduler/multi-wf/run4,create_dir_montage_0_local,performance,slot1@alpha,0.00,0.00,1127.64
2,workflow_4,/home/mehul/shared_fs/EMWOS/1Allocator/Energy-Aware-User-Prioritised-Preference-Scheduler/multi-wf/run4,stage_in_local_local_0_3,performance,slot1@alpha,0.00,0.00,1127.64
3,workflow_4,/home/mehul/shared_fs/EMWOS/1Allocator/Energy-Aware-User-Prioritised-Preference-Scheduler/multi-wf/run4,stage_in_local_local_0_10,performance,slot1@alpha,0.00,0.00,1127.64
4,workflow_4,/home/mehul/shared_fs/EMWOS/1Allocator/Energy-Aware-User-Prioritised-Preference-Scheduler/multi-wf/run4,stage_in_remote_local_0_1,performance,slot1@alpha,0.00,0.00,1127.64
5,workflow_4,/home/mehul/shared_fs/EMWOS/1Allocator/Energy-Aware-User-Prioritised-Preference-Scheduler/multi-wf/run4,stage_in_local_local_0_8,performance,slot1@alpha,0.00,0.00,1127.64
6,workflow_4,/home/mehul/shared_fs/EMWOS/1Allocator/Energy-Aware-User-Prioritised-Preference-Scheduler/multi-wf/run4,stage_in_local_local_0_1,performance,slot1@alpha,0.00,0.00,1127.64
7,workflow_4,/home/mehul/shared_fs/EMWOS/1Allocator/Energy-Aware-User-Prioritised-Preference-Scheduler/multi-wf/run4,stage_in_local_local_0_9,performance,slot1@alpha,0.00,0.00,1127.64
8,workflow_4,/home/mehul/shared_fs/EMWOS/1Allocator/Energy-Aware-User-Prioritised-Preference-Scheduler/multi-wf/run4,stage_in_local_local_0_4,performance,slot1@alpha,0.00,0.00,1127.64
9,workflow_4,/home/mehul/shared_fs/EMWOS/1Allocator/Energy-Aware-User-Prioritised-Preference-Scheduler/multi-wf/run4,stage_in_local_local_0_6,performance,slot1@alpha,0.00,0.00,1127.64
10,workflow_4,/home/mehul/shared_fs/EMWOS/1Allocator/Energy-Aware-User-Prioritised-Preference-Scheduler/multi-wf/run4,stage_in_local_local_0_7,performance,slot1@alpha,0.00,0.00,1127.64
