execution_number,dag_id,dag_path,job_name,job_type,job_path,preference,assigned_resource,estimated_start,estimated_finish,upward_rank
1,dag_4,run4/montage-0.dag,create_dir_montage_0_local,create,run4/create_dir_montage_0_local.sub,performance,slot1@alpha,0.00,0.00,1127.64
2,dag_4,run4/montage-0.dag,stage_in_local_local_0_0,stage,run4/stage_in_local_local_0_0.sub,performance,slot1@alpha,0.00,0.00,1127.64
3,dag_4,run4/montage-0.dag,stage_in_local_local_0_5,stage,run4/stage_in_local_local_0_5.sub,performance,slot1@alpha,0.00,0.00,1127.64
4,dag_4,run4/montage-0.dag,stage_in_local_local_0_7,stage,run4/stage_in_local_local_0_7.sub,performance,slot1@alpha,0.00,0.00,1127.64
5,dag_4,run4/montage-0.dag,stage_in_local_local_0_10,stage,run4/stage_in_local_local_0_10.sub,performance,slot1@alpha,0.00,0.00,1127.64
6,dag_4,run4/montage-0.dag,stage_in_local_local_0_1,stage,run4/stage_in_local_local_0_1.sub,performance,slot1@alpha,0.00,0.00,1127.64
7,dag_4,run4/montage-0.dag,stage_in_local_local_0_8,stage,run4/stage_in_local_local_0_8.sub,performance,slot1@alpha,0.00,0.00,1127.64
8,dag_4,run4/montage-0.dag,stage_in_local_local_0_4,stage,run4/stage_in_local_local_0_4.sub,performance,slot1@alpha,0.00,0.00,1127.64
9,dag_4,run4/montage-0.dag,stage_in_local_local_0_2,stage,run4/stage_in_local_local_0_2.sub,performance,slot1@alpha,0.00,0.00,1127.64
10,dag_4,run4/montage-0.dag,stage_in_local_local_0_6,stage,run4/stage_in_local_local_0_6.sub,performance,slot1@alpha,0.00,0.00,1127.64
11,dag_4,run4/montage-0.dag,stage_in_remote_local_0_0,stage,run4/stage_in_remote_local_0_0.sub,performance,slot1@alpha,0.00,0.00,1127.64
12,dag_4,run4/montage-0.dag,stage_in_local_local_0_9,stage,run4/stage_in_local_local_0_9.sub,performance,slot1@alpha,0.00,0.00,1127.64
13,dag_4,run4/montage-0.dag,stage_in_remote_local_0_1,stage,run4/stage_in_remote_local_0_1.sub,performance,slot1@alpha,0.00,0.00,1127.64
