timestamp,total_mb,used_mb,available_mb,use_percent
1727143422,3753977,114824,3484168,4
1727143423,3753977,114824,3484168,4
1727143424,3753977,114824,3484168,4
1727143425,3753977,114824,3484168,4
1727143426,3753977,114824,3484168,4
1727143427,3753977,114824,3484168,4
1727143428,3753977,114824,3484168,4
1727143429,3753977,114824,3484168,4
1727143430,3753977,114824,3484168,4
1727143431,3753977,114824,3484168,4
1727143432,3753977,114824,3484168,4
1727143433,3753977,114824,3484168,4
1727143434,3753977,114824,3484168,4
1727143435,3753977,114824,3484168,4
1727143436,3753977,114824,3484168,4
1727143437,3753977,114824,3484168,4
1727143438,3753977,114824,3484168,4
1727143439,3753977,114824,3484168,4
1727143440,3753977,114824,3484168,4
1727143441,3753977,114824,3484168,4
1727143442,3753977,114824,3484168,4
1727143444,3753977,114824,3484168,4
1727143445,3753977,114824,3484168,4
1727143446,3753977,114824,3484168,4
1727143447,3753977,114824,3484168,4
1727143448,3753977,114824,3484168,4
1727143449,3753977,114824,3484168,4
1727143450,3753977,114824,3484168,4
1727143451,3753977,114824,3484168,4
1727143452,3753977,114824,3484168,4
1727143453,3753977,114824,3484168,4
1727143454,3753977,114824,3484168,4
1727143455,3753977,114824,3484168,4
1727143456,3753977,114824,3484168,4
1727143457,3753977,114824,3484168,4
1727143458,3753977,114824,3484168,4
1727143459,3753977,114824,3484168,4
1727143460,3753977,114824,3484168,4
1727143461,3753977,114824,3484168,4
1727143462,3753977,114824,3484168,4
1727143463,3753977,114824,3484168,4
1727143464,3753977,114824,3484168,4
1727143465,3753977,114824,3484168,4
1727143466,3753977,114824,3484168,4
1727143467,3753977,114824,3484168,4
1727143468,3753977,114824,3484168,4
1727143469,3753977,114824,3484168,4
1727143470,3753977,114824,3484168,4
1727143471,3753977,114824,3484168,4
1727143472,3753977,114824,3484168,4
1727143473,3753977,114824,3484168,4
1727143474,3753977,114824,3484168,4
1727143475,3753977,114824,3484168,4
1727143477,3753977,114824,3484168,4
1727143478,3753977,114824,3484168,4
1727143479,3753977,114824,3484168,4
1727143480,3753977,114824,3484168,4
1727143481,3753977,114824,3484168,4
1727143482,3753977,114824,3484168,4
1727143483,3753977,114824,3484168,4
1727143484,3753977,114824,3484168,4
1727143485,3753977,114824,3484168,4
1727143486,3753977,114824,3484168,4
1727143487,3753977,114824,3484168,4
1727143488,3753977,114824,3484168,4
1727143489,3753977,114824,3484168,4
1727143490,3753977,114824,3484168,4
1727143491,3753977,114824,3484168,4
1727143492,3753977,114824,3484168,4
1727143493,3753977,114824,3484168,4
1727143494,3753977,114824,3484168,4
1727143495,3753977,114824,3484168,4
1727143496,3753977,114824,3484168,4
1727143497,3753977,114824,3484168,4
1727143498,3753977,114825,3484168,4
1727143499,3753977,114825,3484168,4
1727143500,3753977,114825,3484168,4
1727143501,3753977,114825,3484168,4
1727143502,3753977,114825,3484168,4
1727143503,3753977,114825,3484168,4
1727143504,3753977,114825,3484168,4
1727143505,3753977,114825,3484168,4
1727143506,3753977,114825,3484168,4
1727143507,3753977,114825,3484167,4
1727143508,3753977,114825,3484167,4
1727143509,3753977,114825,3484167,4
1727143511,3753977,114850,3484142,4
1727143512,3753977,114850,3484142,4
1727143513,3753977,114863,3484129,4
1727143514,3753977,114863,3484129,4
1727143515,3753977,114863,3484129,4
1727143516,3753977,114963,3484029,4
1727143517,3753977,115083,3483909,4
1727143518,3753977,115203,3483790,4
1727143519,3753977,115322,3483670,4
1727143520,3753977,115443,3483550,4
1727143521,3753977,115563,3483430,4
1727143522,3753977,115683,3483309,4
1727143524,3753977,115800,3483192,4
1727143525,3753977,115921,3483071,4
1727143526,3753977,116041,3482952,4
1727143527,3753977,116160,3482832,4
1727143528,3753977,116279,3482713,4
1727143529,3753977,116311,3482682,4
1727143530,3753977,116311,3482682,4
1727143531,3753977,116311,3482682,4
1727143532,3753977,116311,3482682,4
1727143533,3753977,116311,3482682,4
1727143534,3753977,116311,3482681,4
1727143535,3753977,116311,3482681,4
1727143536,3753977,116311,3482681,4
1727143537,3753977,116311,3482681,4
1727143538,3753977,116382,3482610,4
1727143539,3753977,116451,3482541,4
1727143540,3753977,116515,3482477,4
1727143541,3753977,116548,3482444,4
1727143542,3753977,116464,3482528,4
1727143543,3753977,116312,3482681,4
1727143545,3753977,116333,3482659,4
1727143546,3753977,116447,3482545,4
1727143547,3753977,116563,3482429,4
1727143548,3753977,116683,3482310,4
1727143549,3753977,116801,3482191,4
1727143550,3753977,116916,3482076,4
1727143551,3753977,117033,3481960,4
1727143552,3753977,117161,3481831,4
1727143553,3753977,117295,3481698,4
1727143555,3753977,117426,3481566,4
1727143556,3753977,117560,3481433,4
1727143557,3753977,117695,3481297,4
1727143558,3753977,117840,3481153,4
1727143560,3753977,117950,3481042,4
1727143561,3753977,118058,3480935,4
1727143562,3753977,118172,3480820,4
1727143563,3753977,118293,3480699,4
1727143564,3753977,118411,3480582,4
1727143565,3753977,118548,3480444,4
1727143566,3753977,118698,3480294,4
1727143568,3753977,118842,3480150,4
1727143569,3753977,118985,3480007,4
1727143570,3753977,119123,3479869,4
1727143572,3753977,119289,3479704,4
1727143573,3753977,119430,3479562,4
1727143574,3753977,119571,3479421,4
1727143576,3753977,119716,3479277,4
1727143577,3753977,119853,3479139,4
1727143578,3753977,119995,3478997,4
1727143579,3753977,120133,3478859,4
1727143581,3753977,120271,3478721,4
1727143583,3753977,120489,3478503,4
1727143585,3753977,120693,3478299,4
1727143586,3753977,120886,3478106,4
1727143588,3753977,121077,3477915,4
1727143589,3753977,121230,3477762,4
1727143591,3753977,121386,3477606,4
1727143592,3753977,121535,3477457,4
1727143593,3753977,121629,3477364,4
1727143594,3753977,121721,3477272,4
1727143595,3753977,121815,3477178,4
1727143596,3753977,121906,3477086,4
1727143597,3753977,121993,3476999,4
1727143598,3753977,122052,3476940,4
1727143600,3753977,122080,3476912,4
1727143601,3753977,122092,3476900,4
1727143602,3753977,122100,3476892,4
1727143603,3753977,122127,3476865,4
1727143604,3753977,122164,3476829,4
1727143605,3753977,122194,3476798,4
1727143606,3753977,122219,3476774,4
1727143608,3753977,122245,3476747,4
1727143609,3753977,122270,3476723,4
1727143610,3753977,122295,3476697,4
1727143611,3753977,122345,3476647,4
1727143612,3753977,122392,3476600,4
1727143613,3753977,122434,3476558,4
1727143615,3753977,122471,3476521,4
1727143616,3753977,122514,3476479,4
1727143617,3753977,122549,3476443,4
1727143618,3753977,122578,3476414,4
1727143619,3753977,122611,3476381,4
1727143620,3753977,122630,3476362,4
1727143622,3753977,122651,3476342,4
1727143623,3753977,122678,3476314,4
1727143624,3753977,122715,3476278,4
1727143625,3753977,122774,3476218,4
1727143626,3753977,122798,3476194,4
1727143627,3753977,122810,3476182,4
1727143629,3753977,122827,3476166,4
1727143630,3753977,122853,3476140,4
1727143631,3753977,122871,3476122,4
1727143632,3753977,122910,3476082,4
1727143633,3753977,122953,3476039,4
1727143634,3753977,123003,3475989,4
1727143636,3753977,123049,3475943,4
1727143637,3753977,123092,3475900,4
1727143638,3753977,123158,3475834,4
1727143639,3753977,123188,3475804,4
1727143640,3753977,123224,3475768,4
1727143641,3753977,123277,3475715,4
1727143643,3753977,123330,3475662,4
1727143644,3753977,123395,3475597,4
1727143645,3753977,123435,3475557,4
1727143646,3753977,123488,3475505,4
1727143647,3753977,123535,3475457,4
1727143649,3753977,123585,3475408,4
1727143650,3753977,123660,3475333,4
1727143651,3753977,123718,3475274,4
