timestamp,description,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20
1706824500,,0,0.833726,3.097537,1.56604,0,0,0,0,0,3.127172,3.49993,3.224274,0,0,1.418918,3.555691
1706824501,,2.356284,4.16863,0,2.34906,1.004085,0,3.874065,3.254092,3.515492,0,0,0,2.227877,0,0,0.711138
1706824502,,2.356284,0,3.999051,0,3.213071,3.861449,0,0.813523,0,0,0,0,1.856564,1.402523,3.639306,0
1706824503,,0,4.122601,0.79981,3.016809,0,0,0,0,0,0,0,3.166541,3.372744,3.275267,0,0,0,3.636434,0,0
1706824504,,3.887134,0,0,1.508405,3.085281,2.332715,3.74945,3.940589,0,0,3.441102,0.633308,0,0,2.18838,0,0,0,0,0
1706824505,,0,1.00125,3.989579,0,0.77132,2.332715,0,0,0,0,0,0,0,0,2.18838,3.500574,3.653506,0,0,0
1706824506,,0,3.203999,0,3.72628,0,0,0.948125,0.787343,0,0,0,0,3.309632,3.217016,0,0,0,3.521112,0,0
1706824507,,3.753253,0,0,0,3.712523,2.994217,3.033999,3.14937,0,0,3.463882,3.000961,0,0,1.496031,0,1.560279,0,0,0
1706824508,,0,4.045674,4.01074,0,0,0.748554,0,0,0,0,0,0,0,0,2.244046,3.530886,2.925524,0,0,0
1706824509,,3.173151,0,0,3.959437,0,0,3.025941,3.193332,0,0,0,0,3.506167,3.282872,0,0,0,3.488104,0,0
1706824510,,0.793288,0.825029,2.007391,0,3.83283,3.826705,0.945607,0.997916,0,0,3.351094,3.339667,0,0,2.262144,0,4.19333,0,0,0
1706824511,,0,3.300115,2.408869,1.486671,0,0,0,0,0,0,0.670219,0,0,0,1.88512,3.508504,0,0,0,0
1706824512,,3.825604,0,0,2.787508,0.747899,0,3.687604,3.973612,0,0,0,0,3.473178,2.40987,0,0,0,3.438312,0,0
1706824513,,0,4.005064,3.047384,0,2.991594,3.868222,0,0,0,0,2.035242,3.141813,0,1.285264,2.212894,0,3.671536,0,0,0
1706824514,,0.788064,0,0.761846,3.961159,0,0,0,0,0,0,1.356828,0,0,0,2.212894,3.438983,0,0,0,0
1706824515,,3.940321,0,0,0.792232,3.10677,0.7614,3.629536,3.905264,0,0,0,0,3.461351,0.657596,0,0,1.616781,3.36237,0,0
1706824516,,0,3.949745,3.936641,0,0.970866,3.807001,0,0,0,0,1.737587,1.907066,0,3.287981,2.247556,0,3.031465,0,0,0
1706824517,,2.810601,0,0,3.807267,0,0,1.511121,3.173528,0,0,2.085105,1.271377,0,0,1.498371,3.51267,0,0,0,0
1706824518,,1.498987,3.19282,0,0,3.659615,2.954472,3.022242,1.586764,0,0,0,0,3.427963,0,0,0.702534,2.672557,3.543419,0,0
1706824519,,0,0.798205,3.828895,0,0,1.575718,0,0,0,0,0.668388,0,0,3.285133,2.178731,0,1.336278,0,0,0
1706824520,,3.798904,0,0,3.855018,0,0,3.681794,3.866451,0,0,3.341938,3.221526,0,0,1.452487,2.056051,0,0,0,0
1706824521,,0,3.960492,0.810565,0,3.905605,3.787544,0,0,0,0,0,0,3.603417,0,0,1.370701,3.921846,3.573013,0,0
1706824522,,1.582194,0,4.052826,2.309429,0,0,0,0,0,0,0,0,0,3.198447,2.116757,0,0,0,0,0
1706824523,,2.373291,2.391884,0,1.924524,1.595896,0,3.707158,3.949377,0,0,3.449748,3.335989,0,0,2.116757,2.0707,0,0,0,0
