timestamp,description,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20
1703165460,,9.862912,11.08772,7.098034,17.07884,0,3.572408,3.508159,0,6.77477,9.087205,7.259917,11.14629,1.758589,0,1.46779,0
1703165460,,9.862912,8.907129,7.098034,17.07884,0,3.572408,0,0,6.77477,9.087205,7.259917,11.14629,1.758589,0,3.669475,0
1703165461,,10.52941,8.907129,6.366459,16.24115,0,0.714482,0,2.246944,6.77477,5.452323,6.472266,9.517423,0,2.04423,2.93558,0
1703165461,,11.52915,8.907129,6.183566,13.84441,0.710937,0,0,3.744906,5.644011,0,6.275352,9.517423,0,2.04423,0,0
1703165462,,10.9402,6.025193,6.183566,12.24659,3.554686,0,1.743224,2.246944,5.361321,3.580092,6.275352,9.517423,0,1.36282,0,3.300945
1703165462,,10.54757,6.025193,6.935004,12.25928,3.554686,1.490279,3.486449,0,5.361321,5.96682,8.029019,7.020392,0.876027,0,0,3.300945
1703165463,,10.9549,12.50233,12.05036,12.38173,0,3.725697,2.091869,0,0,0,15.4812,5.96682,16.90411,5.355704,3.504107,0,1.386009,0,0,0
1703165463,,11.36223,16.82928,18.96845,12.87152,0,2.980557,0,0,0,0,15.4812,12.06708,15.06721,5.355704,2.803286,0,3.465023,0,0,0
1703165464,,12.19954,16.84957,18.95796,13.30266,0,0,0,2.935579,0,0,15.4812,12.51747,14.41889,8.388252,0,1.356258,2.079014,0,0,0
1703165464,,11.91982,16.87764,15.01864,13.59009,1.867359,0,0,3.669473,0,0,15.4812,13.19305,13.8516,9.14639,0,3.390645,0,0,0,0
1703165465,,10.80094,16.51497,14.46661,13.69521,3.734717,0,2.807148,0.733895,0,0,15.67901,16.00044,14.29351,10.48461,0,2.712516,0,3.384843,0,0
1703165465,,10.77668,15.61133,13.63856,12.66664,2.24083,1.81962,3.508936,0,0,0,13.83632,14.46593,13.94937,12.4012,0.72288,0,0,3.384843,0,0
1703165466,,10.67961,14.82012,13.13592,11.12379,0,3.63924,1.403574,0,0,0,11.07229,13.95442,13.26744,14.31779,3.614398,0,3.772141,0.676969,0,0
1703165466,,11.59403,13.82322,13.01026,11.65123,0,2.183544,0,0.933827,0,0,11.07229,11.44107,12.98132,15.05548,2.891518,0,3.772141,0,0,0
1703165467,,12.20364,13.0594,11.86644,12.00286,0,0,0,3.735307,0,0,11.07229,7.671031,12.85073,14.90596,0,0,0,0,0,0
1703165467,,10.29916,10.00412,11.86644,12.90617,2.84286,0,0.718222,2.988246,0,0,6.763873,7.671031,13.09139,14.86858,0,3.453758,0,0,0,0
1703165468,,10.29916,10.00412,9.176868,13.11009,3.553575,0,3.59111,0,0,0,5.686767,11.64496,13.13715,10.627,0,3.453758,0,3.341825,0,0
1703165468,,9.725982,8.394884,7.383818,13.02248,0.710715,2.185149,3.59111,0,0,0,5.686767,11.64496,13.2058,9.213138,0,0,0.676112,3.341825,0,0
1703165469,,9.892769,6.785646,7.383818,13.33417,0,3.641916,0,0,0,0,7.170486,11.64496,13.54774,9.213138,3.499121,0,3.380558,0,0,0
1703165469,,11.1331,6.839066,7.383818,13.43807,0,1.456766,0,2.20582,0,0,8.159632,9.595972,13.2155,8.54568,3.499121,0,3.380558,0,0,0
1703165470,,11.08562,6.919194,6.078192,12.93102,0.733261,0,0,3.676366,0,0,11.0299,6.522489,12.88327,8.100708,0.699824,0,0,0,0,0
1703165470,,10.89571,6.919194,6.078192,12.74915,3.666306,0,1.432187,1.470546,0,0,15.3353,6.522488,11.99858,8.100708,0,2.532662,0,0,0,0
1703165471,,11.05209,6.919194,7.461038,12.47633,3.666307,0,3.580469,0,0,0,14.4716,6.522489,11.58267,8.100708,0,3.376883,0,3.495303,0,0
