timestamp,description,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20
1703162144,,0.747265,3.782144,0.731677,0,0,3.763891,1.430582,0,0.779974,0,0,3.112247,0,3.358887,3.312432,0
1703162145,,3.736327,0.756429,0.731677,0,0.928076,3.763891,0,2.233383,0,0,0,1.867348,0,3.358887,0.662486,0
1703162145,,2.989061,0,0,0,3.712302,0,0,3.722305,0,0,0,0,0,0.671777,0,2.492219
1703162146,,0,0,0,2.244846,2.969842,0,0,1.488922,0,2.392994,1.980657,0,2.065066,0,0,3.322959
1703162146,,0,2.304773,3.772305,3.741411,0,0,2.852135,0,0.628243,3.190659,3.301095,0,1.376711,0,0,1.329183
1703162147,,0,3.841289,3.772305,2.244846,0,2.296066,3.565168,0,3.141213,1.276263,1.650548,0,1.376711,0,1.976823,0
1703162147,,3.041779,1.920645,3.772305,0,0,3.826777,0.713034,0,0,0,3.141213,0,0,2.538179,0,2.02011,3.294705,0,0,0
1703162148,,3.802224,0,0,0,2.187239,1.913388,0,3.730606,0,0,0,0,0,3.172724,0,3.36685,1.976823,0,0,0
1703162148,,1.52089,0,0,0,3.645399,0,0,3.730606,0,0,0,0,0,0.634545,0,1.34674,0,1.980634,0,0
1703162149,,0,1.570324,0,2.84008,1.822699,0,1.430048,0,0,0,0,0,2.059527,0,1.405341,0,0,3.301057,0,0
1703162149,,0,3.92581,3.840374,3.5501,0,0,3.57512,0,0,0,0,3.362203,3.432545,0,3.513353,0,0,1.650528,0,0
1703162150,,0.950538,3.140648,2.304224,0.71002,0,3.968186,2.68134,0,0,0,1.964201,3.362203,1.373018,0,2.810682,0,3.735732,0,0,0
1703162150,,3.802152,0,2.304224,0,0.797389,3.968186,0,1.492789,0,0,3.273668,0,0,1.261646,0,1.358727,3.735732,0,0,0
1703162151,,3.041722,0,0,0,3.986947,0.793637,0,3.731973,0,0,1.964201,0,0,3.154114,0,3.396816,0.747146,0,0,0
1703162151,,0,0,0,1.526006,3.986947,0,0,2.79898,0,0,0,0,0,2.523291,0,2.717453,0,2.567438,0,0
1703162152,,0,3.931844,2.201569,3.815015,0,0,2.715671,0,0,0,0,0,2.70838,0,0.887064,0,0,3.423251,0,0
1703162152,,0,3.931844,3.669282,2.289009,0,1.940902,3.620895,0,0,0,0,1.856916,3.385474,0,3.548256,0,0,1.3693,0,0
1703162153,,2.849426,0,1.834641,0,0,3.881805,1.448358,0,0,0,0,3.094859,1.35419,0,2.838605,0,3.231337,0,0,0
1703162153,,3.561783,0,1.834641,0,0.861046,2.329083,0,3.794057,0,0,1.827396,1.54743,0,0,0,0,3.231337,0,0,0
1703162154,,0.712357,0,0,0,3.444185,0,0,3.794057,0,0,3.045659,0,0,2.564534,0,3.398325,0,0,0,0
1703162154,,0,3.146398,0,3.008681,2.755348,0,0,0.758811,0,0,1.52283,0,0,3.205667,0,3.398325,0,2.7422,0,0
1703162155,,0,3.932997,0,3.760852,0,0,3.684747,0,0,0,0,0,1.369013,0.641133,0,0,0,3.42775,0,0
1703162155,,1.48582,0.983249,3.851431,1.504341,0,3.017668,3.684747,0,0,0,0,1.340133,3.422534,0,3.614027,0,1.462038,0.856938,0,0
1703162156,,3.71455,0,1.540572,0,0,3.772086,0,1.537805,0,0,0,3.350333,2.5669,0,3.614027,0,3.655096,0,0,0
1703162156,,2.785913,0,0,0,2.25431,0.754417,0,3.844512,0,0,0,2.680267,0,0,0,0,2.924077,0,0,0
1703162157,,0,2.329552,0,0,3.757184,0,0,3.07561,0,0,3.228225,0,0,1.257201,0,3.383891,0,0,0,0
1703162157,,0,3.882587,0,3.730706,1.878592,0,1.403629,0,0,0,3.228225,0,0,3.143003,0,3.383891,0,3.489936,0,0
1703162158,,3.674803,1.941293,2.73977,3.730706,0,0.747348,3.509072,0,0,0,0,0,1.681977,2.514402,0,0.676778,0,3.489936,0,0
1703162158,,3.674803,0,3.653027,0.746141,0,3.736741,2.807258,0,0,0,0,0,3.363955,0,3.634356,0,2.034611,0.697987,0,0
1703162159,,3.674803,0,1.461211,0,0,2.989393,0,2.750857,0,0,0,1.927803,2.018373,0,3.634356,0,3.391019,0,0,0
1703162159,,0.734961,0,0,0,2.646048,0,0,3.667809,0,0,0,3.213004,0,0,0.726871,0,1.356408,0,0,0
1703162160,,0,3.787181,0,1.528544,3.528064,0,0,1.467124,0,0,1.30324,1.285202,0,0,0,1.379065,0,0,0,0
1703162160,,0,3.787181,0,3.82136,1.411226,0,2.102108,0,0,0,3.258101,0,0,1.815074,0,3.447663,0,3.446506,0,0
1703162161,,0.914293,0,3.062564,2.292816,0,1.495708,3.503513,0,0,0,2.606481,0,1.338244,3.025123,0,2.585747,0,3.446506,0,0
1703162161,,2.925738,0,3.828206,0,0,3.739269,1.401405,0,0,0,0,0,3.345611,1.512562,2.833558,0,3.648055,0.689301,0,0
1703162162,,2.925738,0,0.765641,0,0,2.991416,0,3.695009,0,0,0,1.281894,2.509208,0,3.541947,0,3.648055,0,0,0
1703162162,,0,3.039444,0,0,3.59705,0,0,3.695009,0,0,0,3.204734,0,0,0.708389,0,0,0,0,0
1703162163,,0,3.799305,0,3.092312,3.59705,0,0,0,0,0,0,2.403551,0,0,0,0.661494,0,0,0,0
1703162163,,2.066461,0.759861,0,3.86539,0,2.757137,3.534194,0,0,0,1.904235,0,0,0,0,3.307472,0,3.394763,0,0
1703162164,,2.066461,0,3.735714,1.546156,0,2.757137,3.534193,0,0,0,3.173725,0,0.653292,3.080879,0,3.307472,0,3.394763,0,0
1703162164,,1.377641,0,3.735714,0,0,3.676183,0.706839,1.483332,0,0,1.586862,0,3.26646,3.080879,1.37403,0,3.312919,0,0,0
1703162165,,1.377641,1.533416,0,0,1.508389,1.470473,0,3.708329,0,0,0,0,2.613168,0.616176,2.74806,0,3.312919,0,0,0
1703162165,,0,3.833539,0,1.512514,3.770973,0,0,2.224998,0,0,0,3.332911,0,0,2.74806,0,0.662584,0,0,0
1703162166,,0,2.875154,0,3.781286,3.016778,0,0.916198,0,0,0,0,3.332911,0,0,0,0,0,0,0,0
1703162166,,3.767962,0,0.750331,3.025029,0,0,3.664791,0,0,0,0.828531,0.666582,0,0,0,2.699452,0,3.513051,0,0
1703162167,,2.825971,0,3.751655,0,0,3.734625,2.931833,0,0,0,3.314124,0,0,1.230752,0.886004,3.374316,0.902689,3.513051,0,0
1703162167,,0,0.760985,3.001324,0,0,3.734625,0,3.012144,0,0,2.651299,0,2.351869,3.076881,0.886004,1.349726,3.610754,0.70261,0,0
1703162168,,0,3.804925,0,0,2.244686,0,0,3.765179,0,0,0,0,3.135825,2.307661,2.835212,0,2.888603,0,0,0
1703162168,,0,3.804925,0,2.189157,3.741143,0,0,0.753036,0,0,0,1.327515,1.25433,0,2.835212,0,0,0,0,0
1703162169,,3.692988,0,0,3.648595,1.496457,0,2.187136,0,0,0,0,3.318789,0,0,0,0,0,0,0,0
1703162169,,3.692988,0,1.563467,1.459438,0,0.748573,3.645227,0,0,0,0,1.991273,0,0,0,1.360245,0,3.54269,0,0
1703162170,,0.738598,0,3.908669,0,0,3.742866,2.187136,0,0,0,1.613336,0,0,0,0,3.400612,2.803616,3.54269,0,0
1703162170,,0,2.325557,3.126935,0,0.738393,2.994293,0,3.610722,0,0,3.226673,0,1.942064,1.900477,3.441195,2.040368,3.50452,0,0,0
1703162171,,0,3.875928,0,0,3.691963,0,0,3.610723,0,0,1.936004,0,3.236774,3.167462,2.752956,0,0.87613,0,0,0
1703162171,,1.872073,1.550371,0,3.744695,2.95357,0,0,0.722145,0,0,0,0,1.942064,1.266985,0,0,0,0,0,0
1703162172,,3.744146,0,0,3.744695,0,0,3.599751,0,0,0,0,3.29992,0,0,0,0,0,0,0,0
1703162172,,2.246487,0,1.86773,0,0,2.300197,3.599751,0,0,0,0,3.29992,0,0,0,0.675569,1.372943,3.259761,0,0
1703162173,,0,0.75754,3.735459,0,0,3.833661,0,0.733658,0,0,0.682255,0.659984,0,0,0,3.377846,3.432357,3.259761,0,0
