timestamp,description,server,switch,master,T1,T2,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20
1707191258,,0,21.67413,8.031983,37.83003,34.42568,0,3.106287,3.763536,3.783175,0,3.760117,0.706361,0,13.61875,12.23271,0,1.931377,0,3.115941,0,0,3.778028,0.671569
1707191259,,4.539694,21.4895,7.96908,38.10111,33.9815,2.129735,0,0.752707,0.756635,3.836795,0,2.825443,0.745403,13.31456,12.40705,3.197362,1.609481,3.311951,0,3.447302,0,0,3.357847
1707191260,,0,21.44334,8.023381,37.78212,34.41904,1.419823,3.795524,0,0,0,1.497319,0,2.981611,13.51933,12.40705,0,0,0,0,0,3.353563,0.624208,0
1707191261,,3.885568,21.28911,8.122855,37.72461,34.65967,0,0,2.974244,3.801411,0,2.807473,2.129837,0,13.25134,12.40705,0,0,0,3.131173,0,0,3.121038,0,0,0
1707191262,,1.21424,21.53146,8.156013,38.0771,34.44791,3.971633,0,0.743561,0,3.952235,0,2.129837,2.261068,13.52886,12.40705,3.312289,3.201534,2.727165,0,2.754313,0,0,3.361405,0,0
1707191263,,0,21.53488,8.027463,37.90894,34.54693,0,3.838798,0,0,0,1.8368,0,1.884224,13.30101,12.40705,0,0,0.852239,0,1.468967,2.708333,2.107681,0,0,0
1707191264,,4.025763,21.54856,8.122369,37.82891,34.38977,0,0,3.640529,3.602479,0.944034,2.20416,2.040452,0,13.30101,12.40705,0,0,0,1.885082,0,0,1.405121,0.665208,0,0
1707191265,,0,21.59954,8.162781,37.61041,34.22025,3.603914,0.958416,0,0,3.020909,0,1.360301,3.799276,13.30101,12.40705,0,3.256444,1.328217,1.256721,0.676867,0,0,3.326038,0,0
1707191266,,2.227825,21.67691,8.172884,37.7741,34.29387,0,3.06693,0,0,0,2.173257,0,0.759855,13.30101,12.40705,3.127089,0,1.992325,0,2.707466,1.325698,2.019128,0,0,0
1707191267,,2.67339,21.72849,8.016038,38.10088,34.93296,0,0,3.786997,3.77239,3.031039,1.448838,3.590564,0,13.30101,13.01698,0,0,0,0,0,1.988548,2.019128,0,0,0
1707191268,,0,21.75897,8.131742,38.78864,35.41509,3.695186,2.946259,0,0,0.9472,0,0.718113,3.899759,13.30101,12.9176,0,3.387501,1.359534,3.090449,0.759872,0,0,3.365706,0,0
1707191269,,4.312429,21.57464,8.172018,37.8775,35.10031,0,0.736565,0,0.904696,0,2.907963,0,0,13.30101,13.20886,3.303165,0,2.719068,0,3.799358,0.670492,2.827897,0,0,0
1707191270,,0,21.55937,8.167261,37.95218,34.38529,1.479178,0,3.681902,2.895028,3.701313,0.908739,3.641837,0,13.30101,13.01297,0,0,0,0,0,0,0.706974,0,0,0
1707191271,,4.082261,21.6826,8.10796,37.95086,34.84209,2.773459,3.776851,0,0,0,0,0,3.748891,13.99077,13.11664,0,2.382786,0.637976,3.08201,0,0,0,3.357977,0,0
1707191272,,1.275706,21.53819,8.083876,38.745,35.46486,0,0,0,2.24289,0,3.690271,0,0,14.57551,12.57209,2.522977,1.270819,3.189879,0,3.554585,0,2.667158,0,0,0
1707191273,,0,21.47111,8.112264,37.81664,34.8674,3.770227,0.742888,3.741469,1.869075,3.752457,0.738054,3.648042,0.747338,13.31719,12.15158,1.261489,0,0,0,0,3.405169,0.833487,0,0,0
1707191274,,4.403764,21.40403,8.129102,37.82369,34.98651,0.754046,3.71444,0,0,0,0,0,2.989353,13.46913,12.41919,0,0.658454,0.888165,3.247521,0,0,0,3.548789,0,0
1707191275,,4.403764,21.52874,8.179614,37.79731,34.59319,0,0,0,2.944757,0,3.767675,0.735693,0,13.12355,12.04076,0.685572,2.633817,2.842129,0,3.783893,0,3.961159,0,0,0
1707191276,,4.602267,21.61696,7.989671,37.61923,34.83604,3.775951,3.045638,3.774595,1.472379,3.797143,0,3.678464,1.48515,13.29619,12.13599,2.742286,0,0,0,0,3.443309,0,0,0,0
1707191277,,0,21.67579,8.128149,37.95455,34.57887,0,0.76141,0,0,0,0,0,2.227726,13.46504,12.32615,0,0,1.353062,1.246838,0,0,0.71976,3.446305,0,0
1707191278,,0.789551,21.6992,8.160842,37.86068,34.50104,0.898373,0,0,2.903915,1.501379,3.609028,1.444749,0,13.0762,12.43684,0,3.218688,2.706124,2.337822,3.515511,0,3.5988,0,0,0
