timestamp,description,server,switch,master,T1,T2,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20
1707965854,,0.822372,9.140901,34.51597,0,3.771278,3.640227,2.870916,1.398818,3.880764,0,0,13.11577,12.15899,0,3.328908,1.960439,0,3.393084,0,0,0,14.04038
1707965855,,1.726027,21.39443,9.894268,34.60024,0,0.754256,0,0.897161,0,0,0,0,14.22439,13.06937,3.151743,0,0,3.176048,0,0,3.617172,3.374769,14.94823
1707965856,,3.452054,21.29076,8.323308,37.87537,34.31487,3.548243,0,0,0,0,3.120663,3.515162,3.660893,14.08032,13.03055,0.630349,0,1.364001,0,0,3.35953,0,0,14.91387
1707965857,,5.217374,21.22165,8.047349,37.83618,34.41835,0,3.742048,3.837751,3.749266,3.778368,1.560332,0,0,13.93981,12.83875,0,3.268439,2.046001,0,3.612788,0,0,0,0,14.96279
1707965858,,5.217374,22.17192,8.069567,37.59745,34.57196,2.14396,0,0,0,0,0,0,0,14.05427,13.21223,0.62514,0,0,3.203616,0,0,3.592526,3.408284,0,14.89419
1707965859,,0,22.24233,8.084378,37.5757,34.40347,2.14396,1.573169,0,0,0,3.722411,3.426865,3.60759,13.82582,13.15248,3.1257,0,0,0,0,2.490085,0,0,0,15.00046
1707965860,,4.378788,22.28546,8.15756,37.82255,34.64748,0,2.949691,3.760899,3.698621,3.584008,0,0,0,14.07774,12.71983,0,2.602948,3.324489,0,3.522347,1.328045,1.502743,0,0,15.02783
1707965861,,4.378788,22.38757,8.076997,37.78824,34.44004,3.758117,0,0,0,0,0,0.735762,0.737255,13.96033,12.97818,0,0.650737,0,1.887428,0,0,3.005486,3.46337,0,14.82278
1707965862,,2.115343,22.12194,8.085996,37.41814,34.34673,0,2.720775,0,0,0,3.851199,3.678811,3.686276,14.26426,13.38912,3.152706,0,0.6754,1.887428,0,1.343799,0,0,0,14.97126
1707965863,,1.762785,22.33391,8.119838,38.18532,34.56057,0,1.45108,3.634982,3.524755,3.507666,0,0,0,13.30977,12.66879,0,1.982333,3.377002,0,3.676493,2.519622,3.915551,0,0,14.04846
1707965864,,0,22.40457,8.231215,37.95047,34.48822,4.013959,0,0,0,0,0,1.749904,2.231831,13.29759,12.19179,0,1.321556,0,0,0.735299,0,0.78311,3.534901,0,14.14383
1707965865,,4.50978,22.30196,7.976349,37.80579,34.59678,0,3.728242,0,0.749387,2.968891,3.877729,2.099885,2.231831,13.41516,12.30531,3.401571,0,0,3.21671,0,0,0,0,0,13.95068
1707965866,,0,21.43901,8.136307,37.62503,34.54122,2.213859,0,3.604703,2.997549,0.927778,0,0,0,13.16437,12.17221,0,0.637575,3.106587,0,2.797295,3.343938,3.39171,0,0,14.134
1707965867,,3.171605,21.59996,8.121558,37.9582,34.54572,1.475906,0,0,0,0,1.475758,2.923584,3.776953,13.02893,12.02558,0,3.187875,0,0,0.699324,0,0,3.329298,0,14.01375
1707965868,,1.691523,21.84139,8.062566,37.72018,34.31675,0,3.768765,1.546959,1.440568,3.731295,2.767047,0.91362,0.755391,12.98917,11.96811,2.734543,0,0,3.130602,0,0,0,0,0,14.27599
1707965869,,0,21.22589,8.067224,37.76492,34.15389,3.623227,0,2.320439,2.881135,0,0,0,0,13.35743,12.38832,0.854545,0,3.380199,0,2.046294,3.316892,3.520135,0,0,14.4603
1707965870,,4.462305,21.65571,8.108934,37.57196,34.48063,0,2.981172,0,0,0,2.826496,3.538926,3.789959,13.69792,12.82795,0,3.219127,0,0,1.705245,0,0,3.411551,0,15.02922
1707965871,,0,21.94225,8.109245,37.79325,34.64317,0,1.490586,2.287687,2.205259,3.449996,1.507465,0,0,13.70147,12.95214,0.668326,0,0,2.481861,0,0,0,0,0,14.88376
1707965872,,2.444382,21.40771,8.110488,37.83839,34.46782,3.805888,0,1.906406,1.470172,0,0,0,0,14.20327,13.08895,2.673302,0,3.320709,0.775582,0.891758,3.375939,3.690126,0,0,14.90491
1707965873,,2.036985,21.91389,7.992508,37.77755,34.63648,0,3.936169,0,0,2.23268,3.709489,3.649117,3.711055,14.42173,13.4647,0,3.249339,0,0,2.853625,0,0,3.412447,0,15.01076
1707965874,,0,21.91389,8.103255,37.45786,34.49585,0,0,3.097419,3.709485,3.721134,0,0,0,14.31882,13.04888,0,0,0,0,0,0,0.722096,0,0,14.72943
1707965875,,4.744545,22.05015,8.11516,37.90857,34.20963,3.622234,0,1.548709,0,0,0,0,0.752706,13.98753,13.05129,3.306328,0,3.360344,3.137742,0,1.665971,2.888384,0,0,14.96617
