timestamp,total_mb,used_mb,available_mb,use_percent
1742812569,3753977,119408,3479585,4
1742812570,3753977,119408,3479585,4
1742812571,3753977,119408,3479585,4
1742812572,3753977,119408,3479585,4
1742812573,3753977,119408,3479585,4
1742812574,3753977,119408,3479585,4
1742812575,3753977,119408,3479585,4
1742812576,3753977,119408,3479585,4
1742812577,3753977,119408,3479585,4
1742812578,3753977,119408,3479585,4
1742812579,3753977,119408,3479585,4
1742812580,3753977,119408,3479585,4
1742812581,3753977,119408,3479585,4
1742812582,3753977,119408,3479585,4
1742812583,3753977,119408,3479585,4
1742812584,3753977,119408,3479585,4
1742812585,3753977,119408,3479585,4
1742812586,3753977,119408,3479585,4
1742812587,3753977,119408,3479585,4
1742812588,3753977,119408,3479585,4
1742812589,3753977,119408,3479585,4
1742812590,3753977,119408,3479585,4
1742812591,3753977,119408,3479585,4
1742812592,3753977,119408,3479585,4
1742812593,3753977,119408,3479585,4
1742812594,3753977,119408,3479585,4
1742812595,3753977,119408,3479585,4
1742812596,3753977,119408,3479585,4
1742812597,3753977,119408,3479585,4
1742812598,3753977,119408,3479585,4
1742812599,3753977,119408,3479585,4
1742812600,3753977,119408,3479585,4
1742812601,3753977,119408,3479585,4
1742812603,3753977,119408,3479585,4
1742812604,3753977,119408,3479585,4
1742812605,3753977,119408,3479585,4
1742812606,3753977,119408,3479585,4
1742812607,3753977,119408,3479585,4
1742812608,3753977,119408,3479585,4
1742812609,3753977,119408,3479585,4
1742812610,3753977,119408,3479585,4
1742812611,3753977,119408,3479585,4
1742812612,3753977,119408,3479585,4
1742812613,3753977,119408,3479584,4
1742812614,3753977,119408,3479584,4
1742812615,3753977,119408,3479584,4
1742812616,3753977,119408,3479584,4
1742812617,3753977,119408,3479584,4
1742812618,3753977,119408,3479584,4
1742812619,3753977,119408,3479584,4
1742812620,3753977,119408,3479584,4
1742812621,3753977,119408,3479584,4
1742812622,3753977,119408,3479584,4
1742812623,3753977,119408,3479584,4
1742812624,3753977,119408,3479584,4
1742812625,3753977,119408,3479584,4
1742812626,3753977,119408,3479584,4
1742812627,3753977,119408,3479584,4
1742812628,3753977,119408,3479584,4
1742812629,3753977,119408,3479584,4
1742812630,3753977,119408,3479584,4
1742812631,3753977,119408,3479584,4
1742812632,3753977,119408,3479584,4
1742812633,3753977,119408,3479584,4
1742812634,3753977,119408,3479584,4
1742812635,3753977,119408,3479584,4
1742812637,3753977,119408,3479584,4
1742812638,3753977,119408,3479584,4
1742812639,3753977,119408,3479584,4
1742812640,3753977,119408,3479584,4
1742812641,3753977,119408,3479584,4
1742812642,3753977,119408,3479584,4
1742812643,3753977,119408,3479584,4
1742812644,3753977,119408,3479584,4
1742812645,3753977,119408,3479584,4
1742812646,3753977,119408,3479584,4
1742812647,3753977,119408,3479584,4
1742812648,3753977,119408,3479584,4
1742812649,3753977,119408,3479584,4
1742812650,3753977,119408,3479584,4
1742812651,3753977,119408,3479584,4
1742812652,3753977,119408,3479584,4
1742812653,3753977,119408,3479584,4
1742812654,3753977,119408,3479584,4
1742812655,3753977,119408,3479584,4
1742812656,3753977,119408,3479584,4
1742812657,3753977,119408,3479584,4
1742812658,3753977,119408,3479584,4
1742812659,3753977,119408,3479584,4
1742812660,3753977,119408,3479584,4
1742812661,3753977,119408,3479584,4
1742812662,3753977,119408,3479584,4
1742812663,3753977,119408,3479584,4
1742812664,3753977,119408,3479584,4
1742812665,3753977,119408,3479584,4
1742812666,3753977,119408,3479584,4
1742812667,3753977,119408,3479584,4
1742812668,3753977,119408,3479584,4
1742812670,3753977,119408,3479584,4
1742812671,3753977,119408,3479584,4
1742812672,3753977,119408,3479584,4
1742812673,3753977,119408,3479584,4
1742812674,3753977,119408,3479584,4
1742812675,3753977,119408,3479584,4
1742812676,3753977,119408,3479584,4
1742812677,3753977,119408,3479584,4
1742812678,3753977,119408,3479584,4
1742812679,3753977,119408,3479584,4
1742812680,3753977,119408,3479584,4
1742812681,3753977,119408,3479584,4
1742812682,3753977,119408,3479584,4
1742812683,3753977,119408,3479584,4
1742812684,3753977,119408,3479584,4
1742812685,3753977,119408,3479584,4
1742812686,3753977,119408,3479584,4
1742812687,3753977,119408,3479584,4
1742812688,3753977,119408,3479584,4
1742812689,3753977,119408,3479584,4
1742812690,3753977,119408,3479584,4
1742812691,3753977,119408,3479584,4
1742812692,3753977,119408,3479584,4
1742812693,3753977,119408,3479584,4
1742812694,3753977,119408,3479584,4
1742812695,3753977,119408,3479584,4
1742812696,3753977,119408,3479584,4
1742812697,3753977,119408,3479584,4
1742812698,3753977,119408,3479584,4
1742812699,3753977,119408,3479584,4
1742812700,3753977,119408,3479584,4
1742812701,3753977,119408,3479584,4
1742812702,3753977,119408,3479584,4
1742812704,3753977,119408,3479584,4
1742812705,3753977,119408,3479584,4
1742812706,3753977,119408,3479584,4
1742812707,3753977,119408,3479584,4
1742812708,3753977,119408,3479584,4
1742812709,3753977,119408,3479584,4
1742812710,3753977,119408,3479584,4
1742812711,3753977,119408,3479584,4
1742812712,3753977,119408,3479584,4
1742812713,3753977,119408,3479584,4
1742812714,3753977,119408,3479584,4
1742812715,3753977,119408,3479584,4
1742812716,3753977,119408,3479584,4
1742812717,3753977,119408,3479584,4
1742812718,3753977,119408,3479584,4
1742812719,3753977,119408,3479584,4
1742812720,3753977,119408,3479584,4
1742812721,3753977,119408,3479584,4
1742812722,3753977,119408,3479584,4
1742812723,3753977,119408,3479584,4
1742812724,3753977,119408,3479584,4
1742812725,3753977,119408,3479584,4
1742812726,3753977,119408,3479584,4
1742812727,3753977,119408,3479584,4
1742812728,3753977,119408,3479584,4
1742812729,3753977,119408,3479584,4
1742812730,3753977,119408,3479584,4
1742812731,3753977,119408,3479584,4
1742812732,3753977,119408,3479584,4
1742812733,3753977,119408,3479584,4
1742812734,3753977,119408,3479584,4
1742812735,3753977,119408,3479584,4
1742812736,3753977,119408,3479584,4
1742812738,3753977,119408,3479584,4
1742812739,3753977,119408,3479584,4
1742812740,3753977,119408,3479584,4
1742812741,3753977,119408,3479584,4
1742812742,3753977,119408,3479584,4
1742812743,3753977,119408,3479584,4
1742812744,3753977,119408,3479584,4
1742812745,3753977,119408,3479584,4
1742812746,3753977,119408,3479584,4
1742812747,3753977,119408,3479584,4
1742812748,3753977,119408,3479584,4
1742812749,3753977,119408,3479584,4
1742812750,3753977,119408,3479584,4
1742812751,3753977,119408,3479584,4
1742812752,3753977,119408,3479584,4
1742812753,3753977,119408,3479584,4
1742812754,3753977,119408,3479584,4
1742812755,3753977,119408,3479584,4
1742812756,3753977,119408,3479584,4
1742812757,3753977,119408,3479584,4
1742812758,3753977,119408,3479584,4
1742812759,3753977,119408,3479584,4
1742812760,3753977,119408,3479584,4
1742812761,3753977,119408,3479584,4
1742812762,3753977,119408,3479584,4
1742812763,3753977,119408,3479584,4
1742812764,3753977,119408,3479584,4
1742812765,3753977,119408,3479584,4
1742812766,3753977,119408,3479584,4
1742812767,3753977,119408,3479584,4
1742812768,3753977,119408,3479584,4
1742812769,3753977,119408,3479584,4
1742812771,3753977,119408,3479584,4
1742812772,3753977,119408,3479584,4
1742812773,3753977,119408,3479584,4
1742812774,3753977,119408,3479584,4
1742812775,3753977,119408,3479584,4
1742812776,3753977,119408,3479584,4
1742812777,3753977,119408,3479584,4
1742812778,3753977,119408,3479584,4
1742812779,3753977,119408,3479584,4
1742812780,3753977,119408,3479584,4
1742812781,3753977,119408,3479584,4
1742812782,3753977,119408,3479584,4
1742812783,3753977,119408,3479584,4
1742812784,3753977,119408,3479584,4
1742812785,3753977,119408,3479584,4
1742812786,3753977,119408,3479584,4
1742812787,3753977,119408,3479584,4
1742812788,3753977,119408,3479584,4
1742812789,3753977,119408,3479584,4
1742812790,3753977,119408,3479584,4
1742812791,3753977,119408,3479584,4
1742812792,3753977,119408,3479584,4
1742812793,3753977,119408,3479584,4
1742812794,3753977,119408,3479584,4
1742812795,3753977,119408,3479584,4
1742812796,3753977,119408,3479584,4
1742812797,3753977,119408,3479584,4
1742812798,3753977,119408,3479584,4
1742812799,3753977,119408,3479584,4
1742812800,3753977,119408,3479584,4
1742812801,3753977,119408,3479584,4
1742812802,3753977,119408,3479584,4
1742812804,3753977,119408,3479584,4
1742812805,3753977,119408,3479584,4
1742812806,3753977,119408,3479584,4
1742812807,3753977,119408,3479584,4
1742812808,3753977,119408,3479584,4
1742812809,3753977,119408,3479584,4
1742812810,3753977,119408,3479584,4
1742812811,3753977,119408,3479584,4
1742812812,3753977,119408,3479584,4
1742812813,3753977,119408,3479584,4
1742812814,3753977,119408,3479584,4
1742812815,3753977,119408,3479584,4
1742812816,3753977,119408,3479584,4
1742812817,3753977,119408,3479584,4
1742812818,3753977,119408,3479584,4
1742812819,3753977,119408,3479584,4
1742812820,3753977,119408,3479584,4
1742812821,3753977,119408,3479584,4
1742812822,3753977,119408,3479584,4
1742812823,3753977,119408,3479584,4
1742812824,3753977,119408,3479584,4
1742812825,3753977,119408,3479584,4
1742812826,3753977,119408,3479584,4
1742812827,3753977,119408,3479584,4
1742812828,3753977,119408,3479584,4
1742812829,3753977,119408,3479584,4
1742812830,3753977,119408,3479584,4
1742812831,3753977,119408,3479584,4
1742812832,3753977,119409,3479584,4
1742812833,3753977,119409,3479584,4
1742812834,3753977,119409,3479584,4
1742812835,3753977,119409,3479584,4
1742812836,3753977,119409,3479584,4
