timestamp,description,server,switch,master,T1,T2,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20
1742812599,,5.927159,21.3362,9.715604,30.01759,26.66539
1742812600,,1.48179,21.38717,9.412282,30.18128,26.92713
1742812601,,1.997672,21.21046,8.39458,30.33014,26.69768
1742812602,,2.996508,21.16628,8.315043,30.18422,26.56819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1742812603,,0,21.09872,8.387715,30.07736,26.64389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1742812604,,4.518972,21.09672,8.366509,30.31009,26.87673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1742812605,,0,21.17408,8.352372,30.32197,26.94001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1742812606,,5.016686,21.40619,8.535752,30.30833,26.93697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1742812607,,0,21.21362,8.293968,30.60677,27.25898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1742812608,,3.286494,21.23002,8.363747,30.88474,27.59046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1742812609,,1.752797,21.25462,8.374409,30.92146,27.73336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1742812610,,0,21.40341,8.354059,30.84947,27.41839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1742812611,,4.685548,21.07771,8.25496,30.8566,27.67859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1742812612,,0,20.99628,8.524307,31.01378,27.7342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1742812613,,4.71158,21.20119,8.611245,30.9433,27.58659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1742812614,,0,21.37662,8.638489,30.62852,27.53944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1742812615,,4.600765,21.42048,8.631543,30.64216,27.59897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1742812616,,0,21.32844,8.163902,30.73654,27.24713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1742812617,,2.985561,21.30538,8.171244,30.62239,27.31231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1742812618,,2.487968,21.36208,8.220822,30.58572,27.48515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1742812619,,0,21.53219,8.337324,30.41854,27.43145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1742812620,,4.627496,21.58365,8.671126,30.52949,27.64265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1742812621,,0,21.42699,8.282558,30.58883,27.25691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1742812622,,5.0447,21.32256,8.187261,30.75552,27.27114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1742812623,,0,21.3149,8.401784,30.56878,27.24547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1742812624,,1.927034,21.52002,8.723569,30.4365,27.51344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1742812625,,2.89055,21.52002,9.495124,30.51624,27.58361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1742812626,,0,21.3345,8.342783,30.52949,27.20762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1742812627,,4.730312,21.20454,8.209108,30.48795,27.07389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1742812628,,0,21.23385,8.204338,30.73854,27.39322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1742812629,,4.660294,21.35111,8.290281,30.43316,27.4046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
