timestamp,description,server,switch,master,T1,T2,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20
1724731516,,6.158206,21.05881,8.214039,30.04204,27.77716
1724731517,,4.76675,21.02388,7.953253,30.27961,28.01753
1724731518,,0.95335,21.07337,8.02861,30.87839,28.30183
1724731519,,0,20.97868,8.029445,30.37946,28.22183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724731520,,4.576908,20.98234,8.030001,30.39404,28.32663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724731521,,0,20.99697,8.163128,30.17259,28.13091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724731522,,3.996624,20.97868,7.864809,30.33384,28.39002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724731523,,0,21.02751,7.984001,30.40737,28.19973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724731524,,0.908279,21.17401,8.023731,30.66084,28.50405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724731525,,4.541396,21.0413,8.216165,30.54894,28.62194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724731526,,0,21.04547,8.158484,30.389,28.66374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724731527,,3.37298,21.05172,8.042592,30.71462,28.62762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724731528,,0.843245,21.13761,8.013295,30.69661,28.54293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724731529,,0,21.07858,8.050628,30.60762,28.67691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724731530,,4.513682,21.03922,8.088399,30.69422,28.78575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724731531,,0,21.16751,8.025035,30.77061,28.85318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724731532,,3.255345,21.25549,8.039428,30.57479,29.02193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724731533,,1.627673,21.27748,8.181483,30.89029,28.99104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724731534,,0,21.09794,8.065601,30.57206,28.98232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724731535,,4.735001,20.95791,8.115757,30.83089,28.87513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724731536,,0,20.95791,8.106082,30.82663,28.96591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724731537,,4.897511,21.10509,8.067383,30.87969,29.20865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724731538,,0,20.98592,8.100412,30.70359,29.17447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724731539,,1.764198,20.99113,8.158346,31.10376,28.8258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724731540,,3.307872,21.01193,8.296361,31.22186,29.04059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724731541,,2.931567,20.87603,8.847748,31.01239,28.93146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724731542,,7.328918,20.90567,11.2308,31.12678,28.98534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724731543,,8.871945,20.92543,12.61673,31.05462,29.15886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724731544,,9.681372,20.87535,10.48685,31.22585,28.98232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724731545,,0,20.97232,8.892134,31.16024,28.96038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724731546,,4.114805,21.03697,8.00437,30.81034,28.89477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724731547,,4.114805,20.91882,8.1521,30.80775,28.94459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724731548,,3.765277,21.06072,8.19794,30.90778,28.81616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724731549,,2.008148,21.09619,8.217138,30.91877,29.03379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724731550,,0,20.96583,8.248093,30.84238,29.19195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724731551,,4.486203,21.0578,8.092633,31.08472,29.05194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724731552,,0,21.0578,8.084905,30.9757,28.90847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724731553,,5.103284,21.10544,8.652715,30.90536,28.90163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724731554,,5.103284,20.8588,9.50443,30.85035,29.0317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724731555,,4.633224,20.88356,8.0293,31.12338,29.11358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724731556,,0,20.98264,8.044047,30.87393,28.87864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724731557,,0,20.97161,8.036287,30.75826,28.76344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724731558,,4.321064,20.95852,8.033701,30.74812,28.95453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724731559,,0,20.91925,8.097633,30.80794,29.05221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724731560,,4.45146,21.13787,8.036437,30.74996,28.91578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724731561,,0,21.09379,7.966902,30.56878,28.84356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724731562,,0.883942,21.06441,8.043992,30.66249,28.84073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724731563,,4.419708,20.95404,13.30004,30.52531,28.69049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724731564,,1.767883,21.07802,13.25615,30.74738,28.78227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724731565,,4.109656,21.10902,8.202418,30.58645,28.98702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724731566,,4.809375,20.92251,9.265259,30.95197,29.02479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724731567,,2.637927,20.96993,8.274322,31.19054,29.20014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724731568,,0,20.98178,13.1773,31.25895,29.39365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724731569,,5.194863,20.93401,9.346835,31.56334,29.81807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724731570,,0,20.99162,8.432271,31.37804,29.70901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724731571,,5.739049,20.99162,9.300226,31.46347,29.70391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724731572,,8.515244,20.99464,12.25542,31.48877,29.66927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724731573,,10.17693,21.2265,10.20254,31.25305,29.42869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724731574,,11.23789,21.1648,11.58018,31.24448,29.31697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724731575,,15.44342,21.07224,10.20045,31.26714,29.20491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
