timestamp,description,server,switch,master,T1,T2,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20
1724816685,,3.799755,21.23781,8.16923,29.69002,27.98024
1724816686,,4.695851,21.18016,8.425103,29.78274,28.18301
1724816687,,0,20.95344,8.154941,29.87656,28.30884
1724816688,,0,21.22778,8.085727,29.91505,28.19047,0,0,0,0,0,0,0,0,0,0,0,0,0
1724816689,,3.923436,21.41068,8.178816,29.88421,28.04782,0,0,0,0,0,0,0,0,0,0,0,0,0
1724816690,,0,21.5076,8.318453,30.19354,28.19786,0,0,0,0,0,0,0,0,0,0,0,0,0
1724816691,,1.612572,21.03679,8.107307,29.87691,28.47387,0,0,0,0,0,0,0,0,0,0,0,0,0
1724816692,,3.225144,21.03679,8.066577,29.99818,28.43543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724816693,,0,20.80861,7.950911,30.08096,28.10142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724816694,,3.063411,21.21486,7.835246,30.17245,28.45868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724816695,,0.765853,21.21486,8.110204,30.02551,28.69871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724816696,,0,21.18667,8.011367,30.07891,28.49427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724816697,,4.008779,21.18605,8.094372,30.25997,28.69723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724816698,,0,21.098,8.149708,30.21808,28.63166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724816699,,0,20.96592,7.999101,30.16936,28.55401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724816700,,3.761612,21.2026,8.035638,30.28162,28.67933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724816701,,0,21.16555,8.025251,30.25879,28.55222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724816702,,1.582229,21.14085,8.018328,30.30219,28.71252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724816703,,2.373344,20.87364,7.827174,30.17506,28.60825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724816704,,0,21.03774,7.985903,30.04406,28.39075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724816705,,4.191094,21.09244,9.364594,30.06352,28.32896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724816706,,4.191094,21.06884,12.52718,30.17746,28.42689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724816707,,5.496253,21.27633,12.44697,30.22774,28.58076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724816708,,0,21.27633,8.404142,30.17501,28.6551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724816709,,0.935936,21.17779,8.250122,30.26162,28.58505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724816710,,2.994997,21.14103,8.147442,30.35983,28.39347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
